City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Nkayi,CG,82.42,overcast clouds,-4.1841,13.2884,Résidence privée du Maire NKAYI
246,Meulaboh,ID,74.07,overcast clouds,4.1363,96.1285,Kost Pria
247,Capaci,IT,79.12,broken clouds,38.1711,13.2393,Hotel Sirenetta
251,Toledo,ES,72.86,overcast clouds,39.8333,-4.0,Hotel Carlos V Toledo
252,Magway,MM,77.47,moderate rain,20.15,94.9167,Htein Htein Thar 2
254,Gizo,SB,80.69,moderate rain,-8.103,156.8419,Imagination Island
255,Hollins,US,76.53,few clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
260,Souris,CA,72.73,clear sky,49.6172,-100.2612,The Souris Hotel
266,South Lake Tahoe,US,79.72,clear sky,38.9332,-119.9844,Tahoe Lakeshore Lodge & Spa
267,Orange,US,74.59,overcast clouds,33.7,-117.7675,Meadows
270,Daru,PG,77.22,overcast clouds,-9.0763,143.2092,Daru Lodge
273,Banjarmasin,ID,75.34,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
275,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
279,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
283,Trat,TH,79.99,overcast clouds,12.5,102.5,สวนหนิง-อัศ
285,Forestville,US,76.32,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
289,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
290,Palu,ID,75.42,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
291,Ligayan,PH,83.21,scattered clouds,4.6533,119.4706,
292,Khonsa,IN,70.36,overcast clouds,27.0167,95.5667,
293,San Quintin,MX,71.94,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
295,Naples,IT,78.51,clear sky,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
296,Buchanan,LR,80.56,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
